municipality_code,municipality_name,period,population_estimated
1501782,Breu Branco - PA,2024,47351.0
1501808,Breves - PA,2024,115051.0
1501907,Bujaru - PA,2024,25112.0
1501956,Cachoeira do Piriá - PA,2024,19578.0
1502004,Cachoeira do Arari - PA,2024,25243.0
1502103,Cametá - PA,2024,143837.0
1502152,Canaã dos Carajás - PA,2024,86629.0
1502202,Capanema - PA,2024,74808.0
1502301,Capitão Poço - PA,2024,59960.0
1502400,Castanhal - PA,2024,207603.0
1502509,Chaves - PA,2024,21487.0
1502608,Colares - PA,2024,13526.0
1502707,Conceição do Araguaia - PA,2024,47099.0
1502756,Concórdia do Pará - PA,2024,28287.0
1502764,Cumaru do Norte - PA,2024,14937.0
1502772,Curionópolis - PA,2024,20859.0
1502806,Curralinho - PA,2024,36451.0
1502855,Curuá - PA,2024,14834.0
1502905,Curuçá - PA,2024,44413.0
1502939,Dom Eliseu - PA,2024,62322.0
1502954,Eldorado do Carajás - PA,2024,29425.0
1503002,Faro - PA,2024,9125.0
1503044,Floresta do Araguaia - PA,2024,18565.0
1503077,Garrafão do Norte - PA,2024,25552.0
1503093,Goianésia do Pará - PA,2024,27059.0
1503101,Gurupá - PA,2024,33922.0
1503200,Igarapé-Açu - PA,2024,37855.0
1503309,Igarapé-Miri - PA,2024,68955.0
1503408,Inhangapi - PA,2024,10754.0
1503457,Ipixuna do Pará - PA,2024,30158.0
1503507,Irituia - PA,2024,32698.0
1503606,Itaituba - PA,2024,133684.0
1503705,Itupiranga - PA,2024,52187.0
1503754,Jacareacanga - PA,2024,26006.0
1503804,Jacundá - PA,2024,38391.0
1503903,Juruti - PA,2024,53952.0
1504000,Limoeiro do Ajuru - PA,2024,31778.0
1504059,Mãe do Rio - PA,2024,37048.0
1504109,Magalhães Barata - PA,2024,8428.0
1504208,Marabá - PA,2024,288513.0
1504307,Maracanã - PA,2024,27207.0
1504406,Marapanim - PA,2024,28105.0
1504422,Marituba - PA,2024,118998.0
1504455,Medicilândia - PA,2024,28633.0
1504505,Melgaço - PA,2024,29846.0
1504604,Mocajuba - PA,2024,28821.0
1504703,Moju - PA,2024,90795.0
1504752,Mojuí dos Campos - PA,2024,25312.0
1504802,Monte Alegre - PA,2024,63641.0
1504901,Muaná - PA,2024,48955.0
1504950,Nova Esperança do Piriá - PA,2024,21259.0
1504976,Nova Ipixuna - PA,2024,14417.0
1505007,Nova Timboteua - PA,2024,13204.0
1505031,Novo Progresso - PA,2024,36518.0
1505064,Novo Repartimento - PA,2024,63754.0
1505106,Óbidos - PA,2024,55271.0
1505205,Oeiras do Pará - PA,2024,36377.0
1505304,Oriximiná - PA,2024,72460.0
1505403,Ourém - PA,2024,18675.0
1505437,Ourilândia do Norte - PA,2024,34905.0
1505486,Pacajá - PA,2024,43594.0
1505494,Palestina do Pará - PA,2024,7086.0
1505502,Paragominas - PA,2024,112843.0
1505536,Parauapebas - PA,2024,298854.0
1505551,Pau D'Arco - PA,2024,7296.0
1505601,Peixe-Boi - PA,2024,8651.0
1505635,Piçarra - PA,2024,13341.0
1505650,Placas - PA,2024,18772.0
1505700,Ponta de Pedras - PA,2024,25767.0
1505809,Portel - PA,2024,66898.0
1505908,Porto de Moz - PA,2024,43673.0
1506005,Prainha - PA,2024,38318.0
1506104,Primavera - PA,2024,11332.0
1506112,Quatipuru - PA,2024,11870.0
1506138,Redenção - PA,2024,91947.0
1506161,Rio Maria - PA,2024,19129.0
1506187,Rondon do Pará - PA,2024,56593.0
1506195,Rurópolis - PA,2024,37360.0
1506203,Salinópolis - PA,2024,48168.0
1506302,Salvaterra - PA,2024,25441.0
1506351,Santa Bárbara do Pará - PA,2024,22288.0
1506401,Santa Cruz do Arari - PA,2024,7654.0
1506500,Santa Izabel do Pará - PA,2024,78317.0
1506559,Santa Luzia do Pará - PA,2024,21217.0
1506583,Santa Maria das Barreiras - PA,2024,17079.0
1506609,Santa Maria do Pará - PA,2024,25696.0
1506708,Santana do Araguaia - PA,2024,31683.0
1506807,Santarém - PA,2024,357311.0
1506906,Santarém Novo - PA,2024,6348.0
1507003,Santo Antônio do Tauá - PA,2024,29134.0
1507102,São Caetano de Odivelas - PA,2024,17248.0
1507151,São Domingos do Araguaia - PA,2024,21638.0
1507201,São Domingos do Capim - PA,2024,32449.0
1507300,São Félix do Xingu - PA,2024,65957.0
1507409,São Francisco do Pará - PA,2024,15418.0
1507458,São Geraldo do Araguaia - PA,2024,24978.0
1507466,São João da Ponta - PA,2024,4509.0
1507474,São João de Pirabas - PA,2024,21447.0
1507508,São João do Araguaia - PA,2024,14246.0
1507607,São Miguel do Guamá - PA,2024,55798.0
1507706,São Sebastião da Boa Vista - PA,2024,27441.0
1507755,Sapucaia - PA,2024,6160.0
1507805,Senador José Porfírio - PA,2024,24441.0
1507904,Soure - PA,2024,25218.0
1507953,Tailândia - PA,2024,75526.0
1507961,Terra Alta - PA,2024,10815.0
1507979,Terra Santa - PA,2024,19667.0
1508001,Tomé-Açu - PA,2024,72326.0
1508035,Tracuateua - PA,2024,30373.0
1508050,Trairão - PA,2024,15619.0
1508084,Tucumã - PA,2024,42480.0
1508100,Tucuruí - PA,2024,96238.0
1508126,Ulianópolis - PA,2024,39576.0
1508159,Uruará - PA,2024,45939.0
1508209,Vigia - PA,2024,53806.0
1508308,Viseu - PA,2024,61970.0
1508357,Vitória do Xingu - PA,2024,16414.0
1508407,Xinguara - PA,2024,56999.0
1600055,Serra do Navio - AP,2024,4986.0
1600105,Amapá - AP,2024,8434.0
1600154,Pedra Branca do Amapari - AP,2024,13798.0
1600204,Calçoene - AP,2024,11391.0
1600212,Cutias - AP,2024,4725.0
1600238,Ferreira Gomes - AP,2024,7145.0
1600253,Itaubal - AP,2024,6043.0
1600279,Laranjal do Jari - AP,2024,37969.0
1600303,Macapá - AP,2024,487200.0
1600402,Mazagão - AP,2024,23575.0
1600501,Oiapoque - AP,2024,30481.0
1600535,Porto Grande - AP,2024,18988.0
1600550,Pracuúba - AP,2024,4042.0
1600600,Santana - AP,2024,118353.0
1600709,Tartarugalzinho - AP,2024,13785.0
1600808,Vitória do Jari - AP,2024,11922.0
1700251,Abreulândia - TO,2024,2668.0
1700301,Aguiarnópolis - TO,2024,4537.0
1700350,Aliança do Tocantins - TO,2024,5222.0
1700400,Almas - TO,2024,6542.0
1700707,Alvorada - TO,2024,9094.0
1701002,Ananás - TO,2024,10662.0
1701051,Angico - TO,2024,2918.0
1701101,Aparecida do Rio Negro - TO,2024,5067.0
1701309,Aragominas - TO,2024,5360.0
1701903,Araguacema - TO,2024,6039.0
1702000,Araguaçu - TO,2024,8273.0
1702109,Araguaína - TO,2024,181493.0
1702158,Araguanã - TO,2024,4338.0
1702208,Araguatins - TO,2024,33205.0
1702307,Arapoema - TO,2024,5553.0
1702406,Arraias - TO,2024,10522.0
1702554,Augustinópolis - TO,2024,18128.0
1702703,Aurora do Tocantins - TO,2024,3420.0
1702901,Axixá do Tocantins - TO,2024,10663.0
1703008,Babaçulândia - TO,2024,7779.0
1703057,Bandeirantes do Tocantins - TO,2024,3534.0
1703073,Barra do Ouro - TO,2024,4641.0
1703107,Barrolândia - TO,2024,4915.0
1703206,Bernardo Sayão - TO,2024,4316.0
1703305,Bom Jesus do Tocantins - TO,2024,4181.0
1703602,Brasilândia do Tocantins - TO,2024,2016.0
1703701,Brejinho de Nazaré - TO,2024,4796.0
1703800,Buriti do Tocantins - TO,2024,10654.0
1703826,Cachoeirinha - TO,2024,1991.0
1703842,Campos Lindos - TO,2024,8951.0
1703867,Cariri do Tocantins - TO,2024,4147.0
1703883,Carmolândia - TO,2024,2246.0
1703891,Carrasco Bonito - TO,2024,3362.0
1703909,Caseara - TO,2024,5009.0
1704105,Centenário - TO,2024,2135.0
1704600,Chapada de Areia - TO,2024,1563.0
1705102,Chapada da Natividade - TO,2024,3182.0
1705508,Colinas do Tocantins - TO,2024,35957.0
1705557,Combinado - TO,2024,4896.0
1705607,Conceição do Tocantins - TO,2024,3956.0
1706001,Couto Magalhães - TO,2024,5515.0
1706100,Cristalândia - TO,2024,6437.0
1706258,Crixás do Tocantins - TO,2024,1499.0
1706506,Darcinópolis - TO,2024,6054.0
1707009,Dianópolis - TO,2024,18031.0
1707108,Divinópolis do Tocantins - TO,2024,7297.0
1707207,Dois Irmãos do Tocantins - TO,2024,6395.0
1707306,Dueré - TO,2024,4321.0
1707405,Esperantina - TO,2024,7493.0
1707553,Fátima - TO,2024,3520.0
1707652,Figueirópolis - TO,2024,5336.0
1707702,Filadélfia - TO,2024,7823.0
1708205,Formoso do Araguaia - TO,2024,19428.0
1708254,Tabocão - TO,2024,3676.0
1708304,Goianorte - TO,2024,4840.0
1709005,Goiatins - TO,2024,12816.0
1709302,Guaraí - TO,2024,25681.0
1709500,Gurupi - TO,2024,89574.0
1709807,Ipueiras - TO,2024,1627.0
1710508,Itacajá - TO,2024,6969.0
1710706,Itaguatins - TO,2024,5206.0
1710904,Itapiratins - TO,2024,3679.0
1711100,Itaporã do Tocantins - TO,2024,2464.0
1711506,Jaú do Tocantins - TO,2024,3403.0
1711803,Juarina - TO,2024,2305.0
1711902,Lagoa da Confusão - TO,2024,16312.0
1711951,Lagoa do Tocantins - TO,2024,3610.0
1712009,Lajeado - TO,2024,3520.0
1712157,Lavandeira - TO,2024,1673.0
1712405,Lizarda - TO,2024,2991.0
1712454,Luzinópolis - TO,2024,2803.0
1712504,Marianópolis do Tocantins - TO,2024,4772.0
1712702,Mateiros - TO,2024,2888.0
1712801,Maurilândia do Tocantins - TO,2024,3171.0
1713205,Miracema do Tocantins - TO,2024,18787.0
1713304,Miranorte - TO,2024,13056.0
1713601,Monte do Carmo - TO,2024,5722.0
1713700,Monte Santo do Tocantins - TO,2024,2500.0
1713809,Palmeiras do Tocantins - TO,2024,4897.0
1713957,Muricilândia - TO,2024,3485.0
1714203,Natividade - TO,2024,8961.0
1714302,Nazaré - TO,2024,4660.0
1714880,Nova Olinda - TO,2024,10609.0
1715002,Nova Rosalândia - TO,2024,3403.0
1715101,Novo Acordo - TO,2024,4102.0
1715150,Novo Alegre - TO,2024,1841.0
1715259,Novo Jardim - TO,2024,2263.0
1715507,Oliveira de Fátima - TO,2024,1211.0
1715705,Palmeirante - TO,2024,4909.0
1715754,Palmeirópolis - TO,2024,7119.0
1716109,Paraíso do Tocantins - TO,2024,55164.0
1716208,Paranã - TO,2024,10854.0
1716307,Pau D'Arco - TO,2024,4085.0
1716505,Pedro Afonso - TO,2024,14731.0
1716604,Peixe - TO,2024,9438.0
1716653,Pequizeiro - TO,2024,5038.0
1716703,Colméia - TO,2024,9158.0
1717008,Pindorama do Tocantins - TO,2024,4596.0
1717206,Piraquê - TO,2024,2265.0
1717503,Pium - TO,2024,7375.0
1717800,Ponte Alta do Bom Jesus - TO,2024,4295.0
1717909,Ponte Alta do Tocantins - TO,2024,7842.0
1718006,Porto Alegre do Tocantins - TO,2024,2953.0
1718204,Porto Nacional - TO,2024,68555.0
1718303,Praia Norte - TO,2024,9460.0
1718402,Presidente Kennedy - TO,2024,3051.0
1718451,Pugmil - TO,2024,2231.0
1718501,Recursolândia - TO,2024,3471.0
1718550,Riachinho - TO,2024,4039.0
1718659,Rio da Conceição - TO,2024,1822.0
1718709,Rio dos Bois - TO,2024,2833.0
1718758,Rio Sono - TO,2024,4798.0
1718808,Sampaio - TO,2024,4372.0
1718840,Sandolândia - TO,2024,3873.0
1718865,Santa Fé do Araguaia - TO,2024,7489.0
1718881,Santa Maria do Tocantins - TO,2024,2726.0
1718899,Santa Rita do Tocantins - TO,2024,2291.0
1718907,Santa Rosa do Tocantins - TO,2024,4789.0
1719004,Santa Tereza do Tocantins - TO,2024,2889.0
1720002,Santa Terezinha do Tocantins - TO,2024,2463.0
1720101,São Bento do Tocantins - TO,2024,5936.0
1720150,São Félix do Tocantins - TO,2024,1875.0
1720200,São Miguel do Tocantins - TO,2024,13939.0
1720259,São Salvador do Tocantins - TO,2024,2385.0
1720309,São Sebastião do Tocantins - TO,2024,4189.0
1720499,São Valério - TO,2024,4547.0
1720655,Silvanópolis - TO,2024,5252.0
1720804,Sítio Novo do Tocantins - TO,2024,11334.0
1720853,Sucupira - TO,2024,1599.0
1720903,Taguatinga - TO,2024,14247.0
1720937,Taipas do Tocantins - TO,2024,2086.0
1720978,Talismã - TO,2024,2509.0
1721000,Palmas - TO,2024,323625.0
1721109,Tocantínia - TO,2024,7751.0
1721208,Tocantinópolis - TO,2024,23203.0
1721257,Tupirama - TO,2024,2003.0
1721307,Tupiratins - TO,2024,1897.0
1722081,Wanderlândia - TO,2024,10751.0
1722107,Xambioá - TO,2024,10683.0
2100055,Açailândia - MA,2024,110506.0
2100105,Afonso Cunha - MA,2024,6296.0
2100154,Água Doce do Maranhão - MA,2024,12446.0
2100204,Alcântara - MA,2024,18774.0
2100303,Aldeias Altas - MA,2024,23782.0
2100402,Altamira do Maranhão - MA,2024,6565.0
2100436,Alto Alegre do Maranhão - MA,2024,24543.0
2100477,Alto Alegre do Pindaré - MA,2024,26411.0
2100501,Alto Parnaíba - MA,2024,11382.0
2100550,Amapá do Maranhão - MA,2024,7364.0
2100600,Amarante do Maranhão - MA,2024,38333.0
2100709,Anajatuba - MA,2024,26221.0
2100808,Anapurus - MA,2024,14111.0
2100832,Apicum-Açu - MA,2024,17984.0
2100873,Araguanã - MA,2024,11347.0
2100907,Araioses - MA,2024,40278.0
2100956,Arame - MA,2024,26191.0
2101004,Arari - MA,2024,30521.0
2101103,Axixá - MA,2024,12079.0
2101202,Bacabal - MA,2024,107620.0
2101251,Bacabeira - MA,2024,17414.0
2101301,Bacuri - MA,2024,16610.0
2101350,Bacurituba - MA,2024,5374.0
2101400,Balsas - MA,2024,106094.0
2101509,Barão de Grajaú - MA,2024,19458.0
2101608,Barra do Corda - MA,2024,87672.0
2101707,Barreirinhas - MA,2024,67999.0
2101731,Belágua - MA,2024,8716.0
2101772,Bela Vista do Maranhão - MA,2024,12073.0
2101806,Benedito Leite - MA,2024,5597.0
2101905,Bequimão - MA,2024,19983.0
2101939,Bernardo do Mearim - MA,2024,5983.0
2101970,Boa Vista do Gurupi - MA,2024,7769.0
2102002,Bom Jardim - MA,2024,34035.0
2102036,Bom Jesus das Selvas - MA,2024,29588.0
2102077,Bom Lugar - MA,2024,12414.0
2102101,Brejo - MA,2024,35322.0
2102150,Brejo de Areia - MA,2024,9387.0
2102200,Buriti - MA,2024,30799.0
2102309,Buriti Bravo - MA,2024,22940.0
2102325,Buriticupu - MA,2024,56896.0
2102358,Buritirana - MA,2024,13157.0
2102374,Cachoeira Grande - MA,2024,10004.0
2102408,Cajapió - MA,2024,10342.0
2102507,Cajari - MA,2024,16711.0
2102556,Campestre do Maranhão - MA,2024,12553.0
2102606,Cândido Mendes - MA,2024,20413.0
2102705,Cantanhede - MA,2024,24976.0
2102754,Capinzal do Norte - MA,2024,11664.0
2102804,Carolina - MA,2024,24606.0
2102903,Carutapera - MA,2024,24855.0
2103000,Caxias - MA,2024,163428.0
2103109,Cedral - MA,2024,10444.0
2103125,Central do Maranhão - MA,2024,7233.0
2103158,Centro do Guilherme - MA,2024,12668.0
2103174,Centro Novo do Maranhão - MA,2024,16529.0
2103208,Chapadinha - MA,2024,84202.0
2103257,Cidelândia - MA,2024,13152.0
2103307,Codó - MA,2024,118295.0
2103406,Coelho Neto - MA,2024,42918.0
2103505,Colinas - MA,2024,41745.0
2103554,Conceição do Lago-Açu - MA,2024,15264.0
2103604,Coroatá - MA,2024,61351.0
2103703,Cururupu - MA,2024,32608.0
2103752,Davinópolis - MA,2024,14788.0
2103802,Dom Pedro - MA,2024,23579.0
2103901,Duque Bacelar - MA,2024,10448.0
2104008,Esperantinópolis - MA,2024,18725.0
2104057,Estreito - MA,2024,34353.0
2104073,Feira Nova do Maranhão - MA,2024,8236.0
2104081,Fernando Falcão - MA,2024,11184.0
2104099,Formosa da Serra Negra - MA,2024,18133.0
2104107,Fortaleza dos Nogueiras - MA,2024,12951.0
2104206,Fortuna - MA,2024,17346.0
2104305,Godofredo Viana - MA,2024,10422.0
2104404,Gonçalves Dias - MA,2024,17579.0
2104503,Governador Archer - MA,2024,10472.0
2104552,Governador Edison Lobão - MA,2024,18908.0
2104602,Governador Eugênio Barros - MA,2024,14258.0
2104628,Governador Luiz Rocha - MA,2024,7219.0
2104651,Governador Newton Bello - MA,2024,10981.0
2104677,Governador Nunes Freire - MA,2024,23563.0
2104701,Graça Aranha - MA,2024,6161.0
2104800,Grajaú - MA,2024,76578.0
2104909,Guimarães - MA,2024,10470.0
2105005,Humberto de Campos - MA,2024,26546.0
2105104,Icatu - MA,2024,25332.0
2105153,Igarapé do Meio - MA,2024,14350.0
2105203,Igarapé Grande - MA,2024,10463.0
2105302,Imperatriz - MA,2024,285146.0
2105351,Itaipava do Grajaú - MA,2024,14143.0
2105401,Itapecuru Mirim - MA,2024,62269.0
2105427,Itinga do Maranhão - MA,2024,22934.0
2105450,Jatobá - MA,2024,7610.0
2105476,Jenipapo dos Vieiras - MA,2024,17499.0
2105500,João Lisboa - MA,2024,25287.0
2105609,Joselândia - MA,2024,15235.0
2105658,Junco do Maranhão - MA,2024,5275.0
2105708,Lago da Pedra - MA,2024,45875.0
2105807,Lago do Junco - MA,2024,9700.0
2105906,Lago Verde - MA,2024,15077.0
2105922,Lagoa do Mato - MA,2024,10809.0
2105948,Lago dos Rodrigues - MA,2024,8961.0
2105963,Lagoa Grande do Maranhão - MA,2024,11710.0
2105989,Lajeado Novo - MA,2024,7227.0
2106003,Lima Campos - MA,2024,11558.0
2106102,Loreto - MA,2024,11876.0
2106201,Luís Domingues - MA,2024,7351.0
2106300,Magalhães de Almeida - MA,2024,14001.0
2106326,Maracaçumé - MA,2024,21686.0
2106359,Marajá do Sena - MA,2024,7165.0
2106375,Maranhãozinho - MA,2024,14086.0
2106409,Mata Roma - MA,2024,17537.0
2106508,Matinha - MA,2024,22530.0
2106607,Matões - MA,2024,33300.0
2106631,Matões do Norte - MA,2024,17945.0
2106672,Milagres do Maranhão - MA,2024,9048.0
2106706,Mirador - MA,2024,21518.0
2106755,Miranda do Norte - MA,2024,24377.0
2106805,Mirinzal - MA,2024,14297.0
2106904,Monção - MA,2024,28606.0
2107001,Montes Altos - MA,2024,9309.0
2107100,Morros - MA,2024,18994.0
2107209,Nina Rodrigues - MA,2024,14551.0
2107258,Nova Colinas - MA,2024,5144.0
2107308,Nova Iorque - MA,2024,4412.0
2107357,Nova Olinda do Maranhão - MA,2024,14468.0
2107407,Olho d'Água das Cunhãs - MA,2024,18295.0
2107456,Olinda Nova do Maranhão - MA,2024,13909.0
2107506,Paço do Lumiar - MA,2024,152306.0
2107605,Palmeirândia - MA,2024,21606.0
2107704,Paraibano - MA,2024,18619.0
2107803,Parnarama - MA,2024,32256.0
2107902,Passagem Franca - MA,2024,17592.0
2108009,Pastos Bons - MA,2024,19246.0
2108058,Paulino Neves - MA,2024,17523.0
2108108,Paulo Ramos - MA,2024,20792.0
2108207,Pedreiras - MA,2024,38267.0
2108256,Pedro do Rosário - MA,2024,24917.0
2108306,Penalva - MA,2024,33534.0
2108405,Peri Mirim - MA,2024,11277.0
2108454,Peritoró - MA,2024,20910.0
2108504,Pindaré-Mirim - MA,2024,32521.0
2108603,Pinheiro - MA,2024,87919.0
2108702,Pio XII - MA,2024,22369.0
2108801,Pirapemas - MA,2024,18120.0
2108900,Poção de Pedras - MA,2024,17444.0
2109007,Porto Franco - MA,2024,24517.0
2109056,Porto Rico do Maranhão - MA,2024,6091.0
2109106,Presidente Dutra - MA,2024,46578.0
2109205,Presidente Juscelino - MA,2024,11616.0
2109239,Presidente Médici - MA,2024,4748.0
2109270,Presidente Sarney - MA,2024,17913.0
